web-scraper-order,web-scraper-start-url,link,link-href
"1717581719-42","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=27","Bauernproteste: 10.000 Demonstrierende in München – Merz solidarisiert sich mit Bauern","https://www.zeit.de/gesellschaft/2024-01/bauernproteste-landwirte-verkehr-blockaden-liveblog"
"1717581719-43","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=27","Protestwoche der Landwirte: Traktorkolonnen, Blockaden, rechte Parolen","https://www.zeit.de/gesellschaft/2024-01/bauernproteste-erster-tag-ueberblick"
"1717581719-44","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=27","Proteste der Bauern: ""Die grüne Welle brechen""","https://www.zeit.de/wirtschaft/2024-01/proteste-bauern-landwirtschaft-haushalt-kuerzungen-ampel"
"1717581719-45","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=27","Bauernproteste: Freie Sachsen demonstrieren in Dresden, AfD kapert Protest in Cottbus","https://www.zeit.de/gesellschaft/2024-01/bauernproteste-dresden-rechte-symbolik"
"1717581719-46","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=27","Haushalt 2024: Bundesregierung bringt geplante Sparvorhaben auf den Weg","https://www.zeit.de/politik/deutschland/2024-01/haushalt-2024-bundesregierung-sparpaket-subventionen-buergergeld"
"1717581719-47","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=27","Demonstrationen der Landwirte: Vizekanzler warnt vor Extremismus bei Bauernprotesten","https://www.zeit.de/politik/deutschland/2024-01/bauern-protest-robert-habeck-extremismus"
"1717581719-48","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=27","Die Grünen: Es ist nicht ihre Schuld","https://www.zeit.de/politik/deutschland/2024-01/die-gruenen-bashing-debatte-kritik-lob"
"1717581719-49","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=27","Bauernproteste: Landwirte starten bundesweite Protestwoche","https://www.zeit.de/gesellschaft/2024-01/bauernprotest-landwirte-strassenblockade"
"1717581719-50","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=27","Protestwoche der Landwirte: Bauern blockieren Autobahnen und Bundesstraßen","https://www.zeit.de/wirtschaft/2024-01/bauernproteste-autobahnen-bundesstrassen-blockiert"
"1717581722-51","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=26","Streit über Agrarsubventionen: Bauernpräsident kündigt weitere Proteste an","https://www.zeit.de/gesellschaft/2024-01/bauern-protest-deutschland-mittwoch"
"1717581722-52","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=26","Ampelkoalition: Grüne wollen mit dem Thema Gerechtigkeit Vertrauen zurückgewinnen","https://www.zeit.de/politik/deutschland/2024-01/ampelkoalition-die-gruenen-ricarda-lang-gerechtigkeit-vertrauen"
"1717581722-53","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=26","Bauernproteste: Die (fast) blockierte Stadt","https://www.zeit.de/hamburg/2024-01/elbvertiefung-09-01-2024"
