"searchQuery/countryCode","searchQuery/device","searchQuery/domain","searchQuery/languageCode","searchQuery/locationUule","searchQuery/page","searchQuery/resultsPerPage","searchQuery/term","searchQuery/type","searchQuery/url","resultsTotal","date","description","displayedUrl","emphasizedKeywords/0","emphasizedKeywords/1","emphasizedKeywords/2","emphasizedKeywords/3","position","title","type","url"
"DE","DESKTOP","google.de",,,"1","5","Keine Einigung zwischen Ampel und Union zu Wahlrecht site:faz.net","SEARCH","http://www.google.de/search?q=Keine+Einigung+zwischen+Ampel+und+Union+zu+Wahlrecht+site%3Afaz.net&num=5","317","2024-04-23T12:00:00.000Z","Die Wahlreform der Ampel bringt vor allem CSU und Linke in Bedrängnis. Jetzt ist das Verfassungsgericht am Zug. Die wichtigsten Fragen und ...","https://www.faz.net › FAZ.NET › Politik › Inland","Ampel",,,,"5","Neues Wahlrecht: Worüber Karlsruhe jetzt verhandelt","organic","https://www.faz.net/aktuell/politik/inland/neues-wahlrecht-worueber-karlsruhe-jetzt-verhandelt-19671392.html"
"DE","DESKTOP","google.de",,,"1","5","Wahlrechtsreform soll bis Ostern stehen site:faz.net","SEARCH","http://www.google.de/search?q=Wahlrechtsreform+soll+bis+Ostern+stehen+site%3Afaz.net&num=5","32","2023-01-15T12:00:00.000Z","Die Ampelkoalition hat einen Gesetzentwurf zum Wahlrecht vorgelegt. Überhangmandate sollen gestrichen werden. Bis Ostern sollen die ...","https://www.faz.net › FAZ.NET › Politik","Wahlrecht","Ostern",,,"1","Gesetzentwurf zum Wahlrecht: Wahlrechtsreform soll bis ...","organic","https://www.faz.net/aktuell/politik/gesetzentwurf-zum-wahlrecht-wahlrechtsreform-soll-bis-ostern-stehen-18604501.html"
"DE","DESKTOP","google.de",,,"1","5","Wahlrechtsreform soll bis Ostern stehen site:faz.net","SEARCH","http://www.google.de/search?q=Wahlrechtsreform+soll+bis+Ostern+stehen+site%3Afaz.net&num=5","32","2023-01-18T12:00:00.000Z","Die Sozialdemokraten diskutieren stundenlang über den Ampel-Vorschlag zur Wahlrechtsreform. Am Ende stimmt eine große Mehrheit zu, ...","https://www.faz.net › FAZ.NET › Politik › Inland","Wahlrechtsreform",,,,"2","SPD-Fraktion stimmt für Wahlrechtsreform","organic","https://www.faz.net/aktuell/politik/inland/spd-fraktion-stimmt-fuer-wahlrechtsreform-18611904.html"
"DE","DESKTOP","google.de",,,"1","5","Wahlrechtsreform soll bis Ostern stehen site:faz.net","SEARCH","http://www.google.de/search?q=Wahlrechtsreform+soll+bis+Ostern+stehen+site%3Afaz.net&num=5","32","2023-01-15T12:00:00.000Z","Die Ampel will nun endlich mit einer Wahlrechtsreform den Bundestag verkleinern. Wahlkreissiegern soll der Einzug in den Bundestag nicht ...","https://www.faz.net › FAZ.NET › Politik › Inland","Wahlrechtsreform","soll",,,"3","Bundestag: Ampel legt Gesetzentwurf für Wahlrechtsreform ...","organic","https://www.faz.net/aktuell/politik/inland/bundestag-ampel-legt-gesetzentwurf-fuer-wahlrechtsreform-vor-18603490.html"
"DE","DESKTOP","google.de",,,"1","5","Wahlrechtsreform soll bis Ostern stehen site:faz.net","SEARCH","http://www.google.de/search?q=Wahlrechtsreform+soll+bis+Ostern+stehen+site%3Afaz.net&num=5","32","2023-01-15T12:00:00.000Z","Wenn das neue Wahlrecht für den Bundestag beschlossen wird, dann muss Ruth Brand für dessen Verwirklichung sorgen.","https://www.faz.net › FAZ.NET › Politik","Wahlrecht",,,,"4","Neue Bundeswahlleiterin: Eine Frau der Zahlen","organic","https://www.faz.net/aktuell/politik/neue-bundeswahlleiterin-eine-frau-der-zahlen-18604420.html"
"DE","DESKTOP","google.de",,,"1","5","Ampel will Gesetzentwurf zum Wahlrecht einbringen site:faz.net","SEARCH","http://www.google.de/search?q=Ampel+will+Gesetzentwurf+zum+Wahlrecht+einbringen+site%3Afaz.net&num=5","42","2023-01-20T12:00:00.000Z","Die Union will die Zahl der Wahlkreise reduzieren. Vertreter von Grünen und FDP kritisieren den Vorschlag. Ein Grüner wirft der Union vor, ...","https://www.faz.net › FAZ.NET › Politik › Inland","will",,,,"1","Grüne und FDP kritisieren Union-Vorschlag","organic","https://www.faz.net/aktuell/politik/inland/wahlrechtsreform-gruene-und-fdp-kritisieren-union-vorschlag-18616575.html"
"DE","DESKTOP","google.de",,,"1","5","Ampel will Gesetzentwurf zum Wahlrecht einbringen site:faz.net","SEARCH","http://www.google.de/search?q=Ampel+will+Gesetzentwurf+zum+Wahlrecht+einbringen+site%3Afaz.net&num=5","42","2022-11-11T12:00:00.000Z","Ab 16 Jahren können Jugendliche bei der nächsten Europawahl abstimmen. Für eine Absenkung des Mindestalters der Wähler bei den ...","https://www.faz.net › FAZ.NET › Politik",,,,,"2","Bundestag beschließt Wahlrecht ab 16 Jahren","organic","https://www.faz.net/aktuell/politik/bundestag-beschliesst-wahlrecht-fuer-europaparlament-ab-16-jahren-18454749.html"
"DE","DESKTOP","google.de",,,"1","5","Ampel will Gesetzentwurf zum Wahlrecht einbringen site:faz.net","SEARCH","http://www.google.de/search?q=Ampel+will+Gesetzentwurf+zum+Wahlrecht+einbringen+site%3Afaz.net&num=5","42","2023-12-12T12:00:00.000Z","In der Grunderwerbsteuer drohen finanzielle Mehrbelastungen, die niemand will. Acht Spitzenverbände der Wirtschaft schlagen nun in einem ...","https://www.faz.net › ... › Wirtschaft › Mehr Wirtschaft","will",,,,"3","Wirtschaft warnt vor Folgen der gelähmten Ampel-Regierung","organic","https://www.faz.net/aktuell/wirtschaft/mehr-wirtschaft/wirtschaft-warnt-vor-folgen-der-gelaehmten-ampel-regierung-19379261.html"
"DE","DESKTOP","google.de",,,"1","5","Ampel will Gesetzentwurf zum Wahlrecht einbringen site:faz.net","SEARCH","http://www.google.de/search?q=Ampel+will+Gesetzentwurf+zum+Wahlrecht+einbringen+site%3Afaz.net&num=5","42","2021-11-24T12:00:00.000Z","3. Das Ergebnis der Bundestagswahl verstehen unsere drei Parteien als Auftrag, eine gemeinsame. 4. Regierungskoalition zu bilden.","https://dynamic.faz.net › download › Koalitionsve...",,,,,"4","Mehr Fortschritt wagen","organic","https://dynamic.faz.net/download/2021/Koalitionsvertrag2021-2025.pdf"
"DE","DESKTOP","google.de",,,"1","5","Bas fordert weitere Wahlrechtsreform site:faz.net","SEARCH","http://www.google.de/search?q=Bas+fordert+weitere+Wahlrechtsreform+site%3Afaz.net&num=5","103","2023-03-18T12:00:00.000Z","Nach dem Beschluss der umstrittenen Wahlrechtsreform fordert die Bundestagspräsidentin eine weitere Änderung.","https://www.faz.net › FAZ.NET › Politik › Inland","Wahlrechtsreform fordert","weitere",,,"1","Bundestag: Bärbel Bas fordert weitere Wahlrechtsreform","organic","https://www.faz.net/aktuell/politik/inland/bundestag-baerbel-bas-fordert-weitere-wahlrechtsreform-18758924.html"
